Date,Duration,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE,Notes
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Bicep Curl,0,70,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Bicep Curl,1,60,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Bicep Curl,2,60,7,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Bicep Curl,3,65,3,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Shoulder Press,0,25,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Shoulder Press,1,30,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Shoulder Press,2,30,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Machine Shoulder Press,3,30,6,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chest Press,0,40,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chest Press,1,40,8,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chest Press,2,40,6,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chest Press,3,40,7,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chin Ups,0,0,5,0,0,,
2025-02-27 11:46:04,00 hours 29 minutes 27 seconds,,Chin Ups,1,0,3,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Bicep Curl,0,60,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Bicep Curl,1,60,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Bicep Curl,2,55,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Bicep Curl,3,55,6,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Shoulder Press,0,20,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Shoulder Press,1,25,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Shoulder Press,2,30,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Machine Shoulder Press,3,30,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Seated Dip Machine,0,70,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Seated Dip Machine,1,85,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Seated Dip Machine,2,85,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Seated Dip Machine,3,85,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Dumbbell Bench Press,0,20,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Dumbbell Bench Press,1,22.5,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Dumbbell Bench Press,2,22.5,8,0,0,,
2025-03-03 14:35:53,00 hours 35 minutes 14 seconds,,Dumbbell Bench Press,3,22.5,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Bicep Curl,0,60,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Bicep Curl,1,60,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Bicep Curl,2,60,6,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Bicep Curl,3,55,7,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Shoulder Press,0,30,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Shoulder Press,1,25,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Shoulder Press,2,25,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Machine Shoulder Press,3,25,6,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Lat Pulldown,0,70,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Lat Pulldown,1,75,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Lat Pulldown,2,70,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Lat Pulldown,3,60,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Seated Dip Machine,0,70,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Seated Dip Machine,1,85,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Seated Dip Machine,2,85,8,0,0,,
2025-03-04 11:32:46,00 hours 33 minutes 58 seconds,,Seated Dip Machine,3,100,8,0,0,,
2025-03-08 12:24:04,00 hours 32 minutes 57 seconds,,Machine Bicep Curl,0,50,8,0,0,,
2025-03-08 12:24:04,00 hours 32 minutes 57 seconds,,Machine Bicep Curl,1,55,8,0,0,,
2025-03-08 12:24:04,00 hours 32 minutes 57 seconds,,Machine Bicep Curl,2,55,8,0,0,,
2025-03-08 12:24:04,00 hours 32 minutes 57 seconds,,Machine Bicep Curl,3,55,8,0,0,,
